produto_id,nome_produto,categoria,preco
1,Fone Bluetooth,Eletrônicos,89.9
2,Carregador Turbo,Eletrônicos,49.9
3,Caixa de Som Portátil,Eletrônicos,129.9
4,Mouse Gamer,Eletrônicos,99.9
5,Teclado Mecânico,Eletrônicos,189.9
6,Cabo USB-C,Eletrônicos,24.9
7,Suporte para Celular,Acessórios,19.9
8,Capinha de Celular,Acessórios,29.9
9,Película de Vidro,Acessórios,14.9
10,Power Bank,Eletrônicos,79.9
11,Smartwatch,Eletrônicos,249.9
12,Adaptador HDMI,Acessórios,34.9
13,Hub USB,Acessórios,44.9
14,Webcam HD,Eletrônicos,119.9
15,Microfone de Lapela,Eletrônicos,69.9
