id_venda;produto_id;cliente_id;quantidade;data_venda;observacao
V000001;13;9;1.0;2024-09-15 08:14:00;Entrega expressa solicitada
V000002;6;3;4.0;2024-09-14 11:29:00;Compra feita via aplicação promocional
V000003;4;16;2.0;2024-12-04 09:55:00;Cliente pediu embalagem para presente
V000004;5;15;1.0;2024-10-22 17:56:00;
V000005;9;5;3.0;2024-12-16 10:20:00;
V000006;4;19;5.0;2024-09-29 10:01:00;
V000007;1;19;3.0;2024-09-17 18:25:00;
V000008;6;10;2.0;2024-11-01 15:39:00;
V000009;5;6;1.0;2024-10-15 17:26:00;Produto com defeito, aguardando troca
V000010;6;4;4.0;2024-11-16 20:39:00;Entrega expressa solicitada
V000011;14;20;1.0;2024-11-06 16:00:00;
V000012;11;20;4.0;2024-11-23 17:52:00;Compra feita via aplicação promocional
V000013;12;15;3.0;2024-12-12 18:10:00;Cliente pediu embalagem para presente
V000014;5;7;3.0;2024-10-27 12:14:00;Compra feita via aplicação promocional
V000015;1;3;1.0;2024-11-25 18:03:00;
V000016;10;19;1.0;2024-08-07 08:12:00;
V000017;13;11;2.0;2024-10-25 22:01:00;Entrega expressa solicitada
V000018;9;18;2.0;2024-10-11 09:19:00;
V000019;2;4;3.0;2024-12-18 17:18:00;Produto com defeito, aguardando troca
V000020;15;7;5.0;2024-08-08 22:15:00;
V000021;15;1;1.0;2024-08-08 08:46:00;Entrega expressa solicitada
V000022;6;12;3.0;2024-08-28 14:31:00;
V000023;1;8;4.0;2024-10-27 09:59:00;
V000024;11;16;2.0;2024-10-28 12:56:00;Produto com defeito, aguardando troca
V000025;8;17;5.0;2024-08-20 20:22:00;
V000026;2;13;1.0;2024-11-14 15:13:00;Produto com defeito, aguardando troca
V000027;5;15;3.0;2024-10-17 09:15:00;
V000028;4;1;4.0;2024-12-05 10:07:00;Cliente solicitou nota fiscal com CNPJ
V000029;13;14;3.0;2024-08-24 10:33:00;
V000030;14;5;1.0;2024-11-16 12:24:00;Compra feita via aplicação promocional
V000031;11;19;1.0;2024-09-10 20:37:00;
V000032;6;4;2.0;2024-12-08 21:53:00;Entrega expressa solicitada
V000033;15;11;2.0;2024-10-25 20:52:00;
V000034;1;13;5.0;2024-09-30 18:15:00;
V000035;11;3;4.0;2024-10-27 08:38:00;Cliente solicitou nota fiscal com CNPJ
V000036;13;10;1.0;2024-11-03 21:33:00;Cliente pediu embalagem para presente
V000037;7;10;5.0;2024-11-27 09:44:00;Produto com defeito, aguardando troca
V000038;13;12;1.0;2024-10-03 16:03:00;Produto com defeito, aguardando troca
V000039;12;19;1.0;2024-09-18 08:38:00;Entrega expressa solicitada
V000040;7;11;3.0;2024-08-31 11:32:00;
V000041;13;5;3.0;2024-08-10 21:54:00;Cliente solicitou nota fiscal com CNPJ
V000042;9;10;3.0;2024-09-11 14:27:00;Cliente solicitou nota fiscal com CNPJ
V000043;3;9;3.0;2024-11-08 18:51:00;Cliente solicitou nota fiscal com CNPJ
V000044;6;3;5.0;2024-09-11 18:44:00;
V000045;14;17;3.0;2024-10-20 22:12:00;Cliente pediu embalagem para presente
V000046;10;9;2.0;2024-11-24 13:12:00;Entrega expressa solicitada
V000047;6;11;5.0;2024-08-15 13:14:00;
V000048;5;5;5.0;2024-09-06 08:07:00;
V000049;1;1;1.0;2024-09-14 10:54:00;Endereço de entrega divergente do cadastro
V000050;12;4;1.0;2024-12-28 16:47:00;Cliente solicitou nota fiscal com CNPJ
V000051;10;7;5.0;2024-11-12 16:42:00;Produto com defeito, aguardando troca
V000052;6;5;4.0;2024-09-03 15:24:00;Produto com defeito, aguardando troca
V000053;10;7;4.0;2024-08-25 10:07:00;
V000054;12;2;5.0;2024-11-20 20:21:00;Endereço de entrega divergente do cadastro
V000055;6;12;5.0;2024-09-10 11:40:00;Compra feita via aplicação promocional
V000056;5;20;4.0;2024-08-05 09:27:00;Cliente solicitou nota fiscal com CNPJ
V000057;5;20;1.0;2024-10-19 09:18:00;
V000058;13;5;1.0;2024-11-10 17:16:00;
V000059;7;16;5.0;2024-08-06 13:09:00;
V000060;9;12;5.0;2024-09-29 17:56:00;
V000061;2;9;4.0;2024-09-29 17:42:00;Compra feita via aplicação promocional
